accountsservice 0.6.55-3
tree 1.8.0-2
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-fira-code 5.2-1
ttf-font-logos 0.14-1
ttf-inconsolata 1:3.000-3
ttf-indic-otf 0.2-11
ttf-iosevka 3.3.0-1
ttf-liberation 2.1.4-1
unzip 6.0-14
upower 0.99.11-3
usbutils 013-1
util-linux 2.36.2-1
v4l2ucp 2.0.2-6
vertex-maia-themes 20180519-4
vi 1:070224-5
vibrancy-icons-teal 2.7-1
viewnior 1.7-3
vim 8.2.2845-1
visual-studio-code-bin 1.47.2-1
vlc 3.0.13-2
volumeicon 0.5.1-5
vulkan-intel 21.0.3-3
vulkan-radeon 21.0.3-3
w3m 0.5.3.git20210102_6-1
wallpapers-juhraya 1.1-2
wget 1.21.1-1
which 2.21-5
wireshark-qt 3.4.5-1
wmutils 1:1.4-1
woeusb 3.3.1-2
wpa_supplicant 2:2.9-8
xarchiver 0.5.4.17-1
xautolock 2.2-6
xcursor-chameleon-pearl 0.5-5
xcursor-maia 20160417-2
xdg-desktop-portal-gtk 1.8.0-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-3
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 1.0.1-1
xf86-input-void 1.4.1-5
xf86-video-amdgpu 19.1.0-2
xf86-video-ati 1:19.1.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-nouveau 1.0.17-1
xfburn 0.6.2-1
xfce4-power-manager 4.16.0-2
xfsprogs 5.11.0-2
xorg-server 1.20.11-1
xorg-twm 1.0.11-1
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xkill 1.0.5-2
xorg-xprop 1.2.5-1
xterm 367-1
xz 5.2.5-1
yay 10.2.2-1
zensu 0.3-1
zip 3.0-9
zoom 5.2.446620.0816-1
